global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
18377,,,,0.9868505001068116,0.0538169108331203,0.0448813882614082,0.9841455221176147,0.0641708746552467,0.0439501996199021,43793.0,0.9831647872924804,0.0673074275255203,0.0423817470308334,43793.0,5782.0891234874725,9056.235344409944,5782.0891234874725,3272.966589450836,0.6894383430480957,0.0
19137,,,,0.9868717193603516,0.0539983436465263,0.0401037843878166,0.9841455221176147,0.0644523575901985,0.0419242300686163,43793.0,0.9831618666648864,0.0676411613821983,0.0427316276995678,43793.0,6022.057444810867,9416.445337295532,6022.057444810867,3393.1574630737305,0.7196691036224365,0.0
19897,,,,0.986676812171936,0.0552522502839565,0.0322520544280386,0.984113872051239,0.0649659484624862,0.0385963691799028,43793.0,0.9831340909004213,0.0682362616062164,0.037065359292265,43793.0,6262.223163843155,9782.50792980194,6262.223163843155,3519.0054552555084,0.7479813098907471,0.0
20653,,,,0.986609160900116,0.0552575811743736,0.0358789196577767,0.9841219782829284,0.0649876147508621,0.0391030207164646,43793.0,0.9831188917160034,0.0682211220264434,0.0371342527454394,43793.0,6502.397948265076,10152.216624975204,6502.397948265076,3648.48947262764,0.7772867679595947,0.0
21421,,,,0.9867208003997804,0.0549402013421058,0.0395883944454559,0.9841163158416748,0.0647028237581253,0.0393721199768318,43793.0,0.9831370115280152,0.0679498389363288,0.037749252787252,43793.0,6742.64087677002,10511.560252666472,6742.64087677002,3767.536988258362,0.8100852966308594,0.0
22191,,,,0.986878216266632,0.054068524390459,0.0377506373802873,0.9841179251670836,0.0647331476211547,0.0401960281495921,43793.0,0.983142077922821,0.0680050179362297,0.0377830700650513,43793.0,6982.778340578079,10876.780874490738,6982.778340578079,3892.5708491802216,0.8387441635131836,0.0
22961,,,,0.9867823123931884,0.054605409502983,0.0370806094223065,0.9841212034225464,0.0647630766034126,0.0385304563665006,43793.0,0.9831331968307496,0.0680596455931663,0.036825376979298,43793.0,7222.87651515007,11239.26391196251,7222.87651515007,4014.905728816986,0.8681073188781738,0.0
23717,,,,0.9867755770683287,0.0544414371252059,0.0339203960956787,0.9841142892837524,0.0646387338638305,0.0396836188839776,43793.0,0.983132779598236,0.0677944645285606,0.037409986992942,43793.0,7462.859321117401,11603.06733894348,7462.859321117401,4138.677356481552,0.8966224193572998,0.0
24479,,,,0.9866442680358888,0.0551604591310024,0.0325671197268018,0.984119176864624,0.0649048164486885,0.0393718948833857,43793.0,0.983130693435669,0.0680909976363182,0.0366856645800324,43793.0,7702.839381933212,11966.144032478333,7702.839381933212,4261.7215049266815,0.9285483360290528,0.0
25246,,,,0.9868021607398988,0.0542893484234809,0.0363595299899404,0.9841252565383912,0.0648161694407463,0.0402983076515429,43793.0,0.9831408262252808,0.0680412054061889,0.0376089547750224,43793.0,7942.94126200676,12328.993959665298,7942.94126200676,4384.419601202011,0.9576728343963624,0.0
26015,,,,0.9867143630981444,0.0547801703214645,0.0374840543419101,0.9841228127479552,0.0647977963089943,0.0393816568477407,43793.0,0.9831365942955016,0.0680237933993339,0.0374208904353659,43793.0,8182.940218925476,12689.068730831146,8182.940218925476,4504.440768241882,0.9912078380584716,0.0
26785,,,,0.9868112802505492,0.0544509626924991,0.036303078880883,0.9841179251670836,0.0649517998099327,0.0396978296852455,43793.0,0.983142077922821,0.0681866034865379,0.0371790548629643,43793.0,8422.957339525223,13050.82715511322,8422.957339525223,4626.131032943726,1.0213570594787598,0.0
27547,,,,0.9868553876876832,0.0543228834867477,0.032621361602138,0.9841264486312866,0.064764954149723,0.038347920709875,43793.0,0.983134925365448,0.0680200979113578,0.0364849413240085,43793.0,8663.197326898575,13411.46373796463,8663.197326898575,4746.477238416672,1.0508122444152832,0.0
28303,,,,0.9867405891418456,0.0547172948718071,0.0319704304911005,0.984119176864624,0.0648015066981315,0.0388865174507662,43793.0,0.9831290245056152,0.0680577084422111,0.0364777526223141,43793.0,8903.347847938538,13774.71105837822,8903.347847938538,4869.524927854538,1.079267501831055,0.0
29068,,,,0.9866026639938354,0.0550939515233039,0.0336612617573486,0.984114706516266,0.0650259032845497,0.0374291352862568,43793.0,0.9831315279006958,0.0682933405041694,0.0366866288128037,43793.0,9143.404933452606,14134.064758777618,9143.404933452606,4988.770790338516,1.1091980934143066,0.0
29832,,,,0.9866309762001038,0.0551942028105258,0.0388148088215983,0.9841151237487792,0.0648350045084953,0.0383326094207837,43793.0,0.9831336736679076,0.0680690109729766,0.0364325512417972,43793.0,9383.55117893219,14496.025174856186,9383.55117893219,5110.5354561805725,1.1378166675567627,0.0
30599,,,,0.986944854259491,0.0542510189116001,0.0377278183095617,0.9841179251670836,0.0649653524160385,0.038498499343259,43793.0,0.983142077922821,0.0682523027062416,0.0370963313164599,43793.0,9623.7176861763,14858.944448709488,9623.7176861763,5233.237699985504,1.16776704788208,0.0
31364,,,,0.9867787957191468,0.0545389130711555,0.0326279059674661,0.984119176864624,0.064969465136528,0.0387539098150068,43793.0,0.9831386804580688,0.0682169273495674,0.0369451365896645,43793.0,9863.697127342224,15220.633597135544,9863.697127342224,5354.898303747177,1.1965677738189695,0.0
32134,,,,0.986733078956604,0.0546283796429634,0.0343635972675044,0.9841305017471312,0.064616709947586,0.0389521799770027,43793.0,0.9831370115280152,0.0678146034479141,0.0364958231573018,43793.0,10103.852969408035,15580.09627699852,10103.852969408035,5474.152900457382,1.2282028198242188,0.0
32900,,,,0.9867037534713744,0.0548844523727893,0.0343850722007197,0.9841179251670836,0.0648554489016532,0.0388571427009269,43793.0,0.983142077922821,0.0681466534733772,0.0369025657031575,43793.0,10343.956382751465,15940.498654603958,10343.956382751465,5594.399503231049,1.2602128982543943,0.0
33665,,,,0.9867236614227296,0.0548469349741935,0.0372893561747956,0.9841240048408508,0.0650546327233314,0.0385604859362165,43793.0,0.9831323623657228,0.0683644786477088,0.0369130708854477,43793.0,10584.194007873535,16304.244542121887,10584.194007873535,5717.8572907447815,1.289872407913208,0.0
34429,,,,0.9868801832199096,0.0541718564927578,0.038129765976931,0.9841171503067015,0.0648189559578895,0.0389155668181855,43793.0,0.983134925365448,0.0680851936340332,0.0371058630812599,43793.0,10824.23615527153,16664.83744907379,10824.23615527153,5838.356571674347,1.3207857608795166,0.0
35189,,,,0.986749231815338,0.0547394528985023,0.0339362727535559,0.9841179251670836,0.0647258013486862,0.0388496801990597,43793.0,0.983142077922821,0.0679614543914794,0.0372200921345465,43793.0,11064.43405342102,17025.981798410416,11064.43405342102,5959.251609802246,1.351775884628296,0.0
35956,,,,0.986723780632019,0.054794929921627,0.0320606605040689,0.9841179251670836,0.0650606080889701,0.0387168329128833,43793.0,0.983142077922821,0.0683236047625541,0.0365269818061672,43793.0,11304.598363161089,17384.728585481644,11304.598363161089,6077.783829450607,1.3815443515777588,0.0
36725,,,,0.9867481589317322,0.0549738071858882,0.0330983607865385,0.9841179251670836,0.0650104358792305,0.0385387430696935,43793.0,0.983142077922821,0.0683081969618797,0.0365184129897128,43793.0,11544.665994405746,17746.094981193542,11544.665994405746,6199.0330283641815,1.4107604026794434,0.0
37495,,,,0.9865526556968688,0.0550558641552925,0.0346960029417206,0.984121561050415,0.0646224468946456,0.0389148140679304,43793.0,0.9831290245056152,0.0678644403815269,0.036510523686053,43793.0,11784.47062277794,18104.14458298683,11784.47062277794,6316.841193675995,1.827221393585205,0.0
38263,,,,0.986774444580078,0.054553635418415,0.0375590947264968,0.984115481376648,0.0648237019777298,0.038103691879576,43793.0,0.983129858970642,0.0680447816848754,0.0365331167860347,43793.0,12024.656257867811,18464.39451479912,12024.656257867811,6436.855404853821,1.8564035892486568,0.0
