global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
6537,,,,0.600831925868988,2.228694200515747,28.23527240926014,0.6041214466094971,2.203835964202881,24.400309696106245,3000.0,0.609005868434906,2.172715187072754,22.888194517289968,3003.0,2565.48877120018,4957.948501586914,2565.48877120018,2392.1727504730225,0.0936822891235351,0.0
8716,,,,0.6005865931510925,2.2219698429107666,29.052326937122714,0.6206494569778442,2.06129789352417,25.31892479173709,3000.0,0.6258439421653748,2.019894599914551,24.40277624421013,3003.0,3405.633405447006,6265.026919126511,3405.633405447006,2859.0154876708984,0.1216156482696533,0.0
10896,,,,0.613159716129303,2.1147708892822266,29.28699399095548,0.633705735206604,1.964706540107727,26.12267210203644,3000.0,0.6388356685638428,1.9106643199920648,25.08139416053091,3003.0,4245.569342136383,7548.482594251633,4245.569342136383,3302.4454469680786,0.1490449905395507,0.0
13074,,,,0.6310940384864807,1.978469967842102,30.89335431124666,0.6433398127555847,1.895116925239563,26.98961374435701,3000.0,0.6505722999572754,1.830229997634888,26.109856935050946,3003.0,5085.486228466034,8835.989210367203,5085.486228466034,3749.9454996585846,0.1758430004119873,0.0
15252,,,,0.6294335126876831,2.0000455379486084,30.07351161466124,0.6478282809257507,1.844810485839844,27.2236941158224,3000.0,0.6564639210700989,1.7824676036834717,26.815376390897622,3003.0,5925.429577827454,10233.765721082687,5925.429577827454,4307.68909907341,0.2029125690460205,0.0
17431,,,,0.6332467198371887,1.9675688743591309,30.833999190383743,0.6515728235244751,1.8193625211715696,27.572704580686004,3000.0,0.6614490747451782,1.7520670890808103,27.0365161016238,3003.0,6765.681861400604,11778.626659870148,6765.681861400604,5012.20842051506,0.2288596630096435,0.0
19612,,,,0.6425047516822815,1.890002727508545,31.293347678714174,0.656817615032196,1.79471755027771,27.877698176558244,3000.0,0.668502688407898,1.719586730003357,27.505427122917173,3003.0,7605.950650930405,13086.685866832731,7605.950650930405,5479.908360004425,0.2567250728607178,0.0
21792,,,,0.6411194205284119,1.9048534631729128,30.93901026894209,0.6591362953186035,1.774379849433899,28.048701705137823,3000.0,0.6705943942070007,1.703075647354126,27.46630474196489,3003.0,8445.915590286255,14578.005249023438,8445.915590286255,6131.083657741547,0.3746871948242187,0.0
23971,,,,0.6369666457176208,1.934059858322144,30.972807117749845,0.6611201167106628,1.7590023279190063,28.33914900018142,3000.0,0.6715240478515625,1.6878459453582764,27.54634378944857,3003.0,9286.137159824371,16013.093479394913,9286.137159824371,6725.86185669899,0.401292085647583,0.0
26150,,,,0.6490572094917297,1.830532193183899,31.500486963751108,0.6617896556854248,1.753445744514465,28.32726708215036,3000.0,0.6716750860214233,1.6790329217910769,27.59402330046281,3003.0,10126.170243024826,17324.21355867386,10126.170243024826,7196.861127614975,0.427527904510498,0.0
28329,,,,0.6452217102050781,1.883177757263184,31.23987849834233,0.664765477180481,1.7354060411453247,28.33611698010655,3000.0,0.6763814091682434,1.6583598852157593,27.853746054436808,3003.0,10966.11366391182,18636.145121335983,10966.11366391182,7668.760431051254,0.4550278186798095,0.0
30508,,,,0.6432036757469177,1.889203786849976,31.40357034670005,0.6664517521858215,1.7268611192703247,28.89996322409951,3000.0,0.6775318384170532,1.645869493484497,28.00308740042893,3003.0,11806.193934440613,19968.814893245697,11806.193934440613,8161.260395765305,0.4831068515777588,0.0
32687,,,,0.6541765332221985,1.819315791130066,31.76932673652715,0.6672080755233765,1.718535542488098,28.586802688260345,3000.0,0.6795305609703064,1.6435753107070925,27.89666644727026,3003.0,12646.110175609589,21263.58550453186,12646.110175609589,8616.025032520294,0.5115485191345215,0.0
34866,,,,0.6489906311035156,1.841394543647766,31.871980087835286,0.6690059304237366,1.7074021100997925,28.438007686168422,3000.0,0.6799604892730713,1.6254476308822632,28.15686373949407,3003.0,13486.258982419968,22616.072100162502,13486.258982419968,9128.274326324465,0.5387091636657715,0.0
37045,,,,0.6478247046470642,1.861726999282837,31.401959177029727,0.6708534359931946,1.6991958618164062,29.05655401822009,3000.0,0.6824240684509277,1.615702748298645,28.47657093004521,3003.0,14326.34387588501,23935.48276519776,14326.34387588501,9607.510138750076,0.5670568943023682,0.0
39224,,,,0.655859112739563,1.808626294136048,31.88324554180624,0.670419454574585,1.6934837102890017,28.89716873004191,3000.0,0.6827029585838318,1.6110520362854004,28.56766266737922,3003.0,15166.409248828888,25227.817799568176,15166.409248828888,10059.691682577131,0.5939772129058838,0.0
41405,,,,0.6534842252731323,1.8237922191619875,31.89971886714473,0.6731472611427307,1.6824564933776855,29.04800151218756,3000.0,0.6850967407226562,1.5990712642669678,28.837910965249417,3003.0,16006.432115793228,26536.47124695778,16006.432115793228,10528.233261108398,0.6212563514709473,0.0
43584,,,,0.652837872505188,1.8288614749908447,31.737627582615325,0.673965573310852,1.6761491298675537,29.50051734544148,3000.0,0.6874440908432007,1.5896979570388794,28.52148524547291,3003.0,16846.427405834198,27878.14211535453,16846.427405834198,11029.821838617325,0.6471521854400635,0.0
45763,,,,0.66326904296875,1.761816382408142,32.748796607045314,0.6756270527839661,1.6656159162521362,29.528394515224026,3000.0,0.6883040070533752,1.5830918550491333,28.97056750634177,3003.0,17686.45198225975,29254.627701044083,17686.45198225975,11566.19398856163,0.6750986576080322,0.0
47942,,,,0.6573503017425537,1.7903687953948977,32.152653212825264,0.676482617855072,1.660664677619934,29.45549110829777,3000.0,0.6905467510223389,1.5692158937454224,29.124509204780143,3003.0,18526.613186120987,30569.113696336743,18526.613186120987,12040.427782058716,0.7046940326690674,0.0
50121,,,,0.6946142315864563,1.5605497360229492,34.725342570987905,0.6773629784584045,1.6504642963409424,29.35944589494169,3000.0,0.6921619772911072,1.5620601177215576,28.926497106510684,3003.0,19366.82552862168,31932.67136859893,19366.82552862168,12563.682462215424,0.7339503765106201,0.0
52300,,,,0.6611832976341248,1.756322741508484,32.92676207759968,0.6793220043182373,1.6384704113006592,29.791620276146794,3000.0,0.6923944354057312,1.5516985654830933,29.288885906224756,3003.0,20206.95543861389,33321.37918138504,20206.95543861389,13112.170682668686,0.7623002529144287,0.0
52300,,,,,,,,,,,,,,,20206.95543861389,,,,,0.0
