global_step,grad_norm,loss,lr,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
25721,,,,0.6529687643051147,1.6733099222183228,0.6036999821662903,1.9002338647842407,50000.0,0.4759000241756439,2.529115676879883,10000.0,11387.03684425354,12199.226264238358,11387.03684425354,809.5827243328094,1.181438446044922,0.0
26666,,,,0.6669530868530273,1.6110262870788574,0.6104399561882019,1.8744149208068848,50000.0,0.4866000115871429,2.495504140853882,10000.0,11807.141335964205,12653.13176870346,11807.141335964205,843.2635378837585,1.2514665126800537,0.0
27610,,,,0.6618945002555847,1.6427693367004397,0.6159799695014954,1.8499232530593872,50000.0,0.4940000176429748,2.4601023197174072,10000.0,12227.180295467377,13106.415963888168,12227.180295467377,876.3788597583771,1.3307228088378906,0.0
28557,,,,0.6630468368530273,1.6195162534713743,0.6163600087165833,1.835155010223389,50000.0,0.4999000132083893,2.445618867874145,10000.0,12647.355207443235,13559.339525699615,12647.355207443235,909.0037467479706,1.403616428375244,0.0
29499,,,,0.6778124570846558,1.5441523790359497,0.6220399737358093,1.788838505744934,50000.0,0.5067000389099121,2.4239706993103027,10000.0,13067.675480127336,14013.243174552916,13067.675480127336,942.4634733200072,1.47694993019104,0.0
30442,,,,0.7013280987739563,1.4535001516342163,0.6229000091552734,1.7845224142074585,50000.0,0.5021000504493713,2.425232648849488,10000.0,13487.740967988968,14466.334431171415,13487.740967988968,975.3716399669648,1.543107986450195,0.0
31388,,,,0.6790820360183716,1.5596673488616943,0.6280999779701233,1.7732439041137695,50000.0,0.5093000531196594,2.3810417652130127,10000.0,13907.762361049652,14918.220341205595,13907.762361049652,1007.1120212078094,1.616152286529541,0.0
32330,,,,0.6827734112739563,1.5280392169952393,0.6317399740219116,1.766667127609253,50000.0,0.5148000121116638,2.376558780670166,10000.0,14327.776857614515,15370.644836902618,14327.776857614515,1039.397451877594,1.6897282600402832,0.0
33272,,,,0.6970898509025574,1.4834002256393433,0.6338199973106384,1.75881826877594,50000.0,0.5093000531196594,2.38508677482605,10000.0,14748.079843759537,15823.705475091934,14748.079843759537,1072.028720855713,1.765427827835083,0.0
34215,,,,0.6824414134025574,1.5465619564056396,0.6333799958229065,1.770085692405701,50000.0,0.5090000033378601,2.401562452316284,10000.0,15168.081756591797,16276.853930234907,15168.081756591797,1105.0451476573944,1.8448169231414795,0.0
35159,,,,0.6917577981948853,1.524123191833496,0.6394799947738647,1.7551015615463257,50000.0,0.5207000374794006,2.363115072250366,10000.0,15588.455173492432,16730.333352804184,15588.455173492432,1138.021240234375,1.923814058303833,0.0
36103,,,,0.7039843797683716,1.414979100227356,0.6429199576377869,1.6840641498565674,50000.0,0.5229000449180603,2.3040781021118164,10000.0,16008.52952671051,17182.19969177246,16008.52952671051,1169.692716836929,1.9938342571258545,0.0
37047,,,,0.7162500023841858,1.3745613098144531,0.6416599750518799,1.7050009965896606,50000.0,0.5178000330924988,2.341896772384644,10000.0,16428.696955919266,17635.55519104004,16428.696955919266,1202.7564523220062,2.0675711631774902,0.0
37994,,,,0.6913476586341858,1.4819605350494385,0.6421799659729004,1.7128760814666748,50000.0,0.5218000411987305,2.3389387130737305,10000.0,16848.70121693611,18087.385655403137,16848.70121693611,1234.460034608841,2.1393144130706787,0.0
38939,,,,0.7065624594688416,1.4160791635513306,0.6479200124740601,1.6678752899169922,50000.0,0.5227000117301941,2.28946852684021,10000.0,17268.748888492584,18538.873841047287,17268.748888492584,1265.7805604934692,2.207961320877075,0.0
39885,,,,0.7132812142372131,1.4009376764297483,0.649679958820343,1.6818424463272097,50000.0,0.5266000032424927,2.2988343238830566,10000.0,17688.709619045258,18991.1710870266,17688.709619045258,1297.980607032776,2.2936034202575684,0.0
40831,,,,0.7015429735183716,1.4711555242538452,0.6524199843406677,1.6864808797836304,50000.0,0.5344000458717346,2.2947375774383545,10000.0,18108.751799583435,19445.168434143063,18108.751799583435,1331.814185142517,2.3637733459472656,0.0
