global_step,grad_norm,loss,lr,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
9016,,,,0.0023323667368718,5.746363503592355,0.0018622082273948,5.748200750914463,3554.0,0.0033215035675824,5.73820325589919,3581.0,2222.241537809372,2545.295073032379,2222.241537809372,320.53669714927673,2.2139346599578857,0.0
9364,,,,0.0132452717849186,3.948152814592634,0.0126876380246344,3.9514768790447374,3554.0,0.0157245166206519,3.948091380724658,3581.0,2302.374599456787,2629.524154186249,2302.374599456787,324.5949020385742,2.240330219268799,0.0
9709,,,,0.0010412034711667,4.762615203857422,0.0015625838288847,4.749542219154474,3554.0,0.0023474862408418,4.75733035464954,3581.0,2382.3954463005066,2713.63791179657,2382.3954463005066,328.65016651153564,2.266850233078003,0.0
10056,,,,0.0049789829977921,6.143820081438337,0.0047157965956877,6.156107115222285,3554.0,0.0054230709976072,6.152708086079308,3581.0,2462.5196125507355,2797.8581926822662,2462.5196125507355,332.7080075740814,2.2940330505371094,0.0
10404,,,,0.0136913614613669,4.360388347080776,0.0132546926658342,4.360390031478616,3554.0,0.0165412431986962,4.358060826672019,3581.0,2542.685895204544,2882.120105981827,2542.685895204544,336.7660393714905,2.3204281330108643,0.0
10747,,,,-0.0048763916960784,7.222354888916016,-0.004461442209994,7.211148529825548,3554.0,-0.0055527190395121,7.212500654495951,3581.0,2622.6486055850983,2966.1773595809937,2622.6486055850983,340.82159209251404,2.3470981121063232,0.0
11096,,,,0.0122768027441842,2.522295543125697,0.0117138233088212,2.542748652486635,3554.0,0.0170297215218585,2.534418851228707,3581.0,2702.7927012443542,3050.415062904358,2702.7927012443542,344.87635135650635,2.37462854385376,0.0
11442,,,,0.0053033051746232,3.8169285910470143,0.0047615209052451,3.811165950777293,3554.0,0.0086925919912807,3.8054199900516616,3581.0,2782.779811143875,3134.4989948272705,2782.779811143875,348.93560218811035,2.401078701019287,0.0
11789,,,,-0.0226088549409593,3.1922103336879184,-0.0171159723868984,3.1720489347390264,3554.0,-0.0115024957600934,3.168710784784278,3581.0,2863.005320072174,3218.821348428726,2863.005320072174,352.9940252304077,2.42811918258667,0.0
12134,,,,0.0350137778690883,4.350751059395926,0.0342465101766935,4.332734957530247,3554.0,0.0361832930568342,4.349852356621754,3581.0,2943.022591114044,3302.9345259666443,2943.022591114044,357.0512282848358,2.455384492874145,0.0
12482,,,,0.1379879457609994,1.2513911383492606,0.1352835393850898,1.2649083778840742,3554.0,0.1513454561891318,1.2648601942107651,3581.0,3023.1539113521576,3387.161463737488,3023.1539113521576,361.1085350513458,2.4823756217956543,0.0
12827,,,,0.2740826606750488,1.344597407749721,0.2617014733069253,1.3434734355215954,3554.0,0.2823747444738725,1.3420731268325887,3581.0,3103.1393926143646,3471.243089914322,3103.1393926143646,365.16735887527466,2.508350849151612,0.0
13173,,,,0.1728549344199044,0.983577115195138,0.1580262363929727,0.9997406778673678,3554.0,0.1794504497478009,0.9947212174497349,3581.0,3183.163029909134,3555.3604707717896,3183.163029909134,369.22252774238586,2.534819364547729,0.0
13522,,,,0.3379545211791992,0.8743142400469098,0.3307540455626582,0.8710036226786719,3554.0,0.3519849566832763,0.8754985759258936,3581.0,3263.313916921616,3639.6065776348114,3263.313916921616,373.2771425247192,2.563554525375366,0.0
13870,,,,0.2351093803133283,1.222813606262207,0.2302692952153383,1.2198577691949213,3554.0,0.252168665515481,1.222523032803337,3581.0,3343.38681268692,3723.783041715622,3343.38681268692,377.34066557884216,2.5913524627685547,0.0
14217,,,,0.1726372412272862,1.0715357235499792,0.1692290383909415,1.08480445119056,3554.0,0.1847985338745287,1.0837756862390044,3581.0,3423.399855852127,3807.897500991821,3423.399855852127,381.40221786499023,2.618929862976074,0.0
14567,,,,0.2045427049909319,0.9412339755467006,0.2022581599573104,0.9457401926086804,3554.0,0.2224147341764695,0.9458365058206508,3581.0,3503.500373601913,3892.0969438552856,3503.500373601913,385.4618365764618,2.6458616256713867,0.0
14913,,,,0.3448505061013358,0.7436050006321498,0.3364243730106042,0.7559517692432822,3554.0,0.3576071450777541,0.7572947664322117,3581.0,3583.482641458512,3976.180315732956,3583.482641458512,389.5223116874695,2.674196481704712,0.0
15261,,,,0.3673158373151506,1.1263577597481864,0.3566096299943725,1.1187130010859243,3554.0,0.3778016517296146,1.1234793877408544,3581.0,3663.643950462341,4060.442422866821,3663.643950462341,393.5829982757568,2.7017688751220703,0.0
15608,,,,0.1428697790418352,1.1081326348440987,0.1357743279881603,1.1139085691298536,3554.0,0.1509778987625663,1.1214577451959995,3581.0,3743.663785934448,4144.561367273331,3743.663785934448,397.6415343284607,2.729712009429932,0.0
15956,,,,0.3646356378282819,0.946155275617327,0.3560598670731922,0.9450697332670934,3554.0,0.3768439741648631,0.9495200226673765,3581.0,3823.684770107269,4228.67772769928,3823.684770107269,401.6971287727356,2.7568259239196777,0.0
16303,,,,0.450667245047433,1.0144030707223075,0.4364428587287212,1.0073646798721512,3554.0,0.4574971693050125,1.0123716097109745,3581.0,3903.8119761943817,4312.901224374771,3903.8119761943817,405.7537610530853,2.7839457988739014,0.0
16652,,,,0.3318453175680978,0.5514839717320034,0.329252415851857,0.5624968400481851,3554.0,0.3527874982546775,0.5671131056269199,3581.0,3983.962256669998,4397.147819280624,3983.962256669998,409.8089442253113,2.812642335891724,0.0
16997,,,,0.4891147954123361,0.8778682436261859,0.4758338219809546,0.8708279705745287,3554.0,0.4959546355221132,0.8763570564480941,3581.0,4063.9617116451263,4481.24605178833,4063.9617116451263,413.86712861061096,2.8408725261688232,0.0
17343,,,,0.4755686351231166,0.9592409133911132,0.464316450214547,0.9490306641724112,3554.0,0.4837877603257644,0.9542608913580356,3581.0,4144.023152828217,4565.404050350189,4144.023152828217,417.9243261814117,2.868074417114258,0.0
17690,,,,0.1645290510995047,1.0051745006016322,0.1628393925638365,1.014694462885129,3554.0,0.1802261126703871,1.0155066453155543,3581.0,4224.195708036423,4649.675746679306,4224.195708036423,421.9846305847168,2.895503759384156,0.0
18039,,,,0.3182241916656494,0.6740774427141462,0.3134602475313907,0.6844409605594048,3554.0,0.3337266672193521,0.6872559957283231,3581.0,4304.225242853165,4733.802985668182,4304.225242853165,426.042683839798,2.923698663711548,0.0
18384,,,,0.2670715706689017,0.8202889306204659,0.264890740544325,0.8220904537580894,3554.0,0.28135995191091,0.8291563083592223,3581.0,4384.331600904465,4818.008027791977,4384.331600904465,430.10138607025146,2.952511548995972,0.0
18730,,,,0.5029892921447754,0.6320157051086426,0.4874185831545441,0.6388301473691615,3554.0,0.5093691777131039,0.6418242274766127,3581.0,4464.31279873848,4902.094713687897,4464.31279873848,434.1677765846253,2.98046350479126,0.0
19076,,,,0.518070902143206,0.7171829087393624,0.5033220023872749,0.7158325401396314,3554.0,0.5244403446030264,0.7190458867111142,3581.0,4544.420760154724,4986.307020187378,4544.420760154724,438.2333261966705,3.0080268383026123,0.0
19419,,,,0.2764878783907209,0.6349789074489048,0.2657241263145399,0.6563918543586452,3554.0,0.2894486526110025,0.6580958831113864,3581.0,4624.407572984695,5070.395614862442,4624.407572984695,442.29446029663086,3.037492036819458,0.0
19764,,,,0.5354913302830288,0.6571887561253139,0.5211724671474922,0.6562359176060425,3554.0,0.5422324420552919,0.659394784867181,3581.0,4704.607453346252,5154.692859172821,4704.607453346252,446.3530066013336,3.0652201175689697,0.0
20112,,,,0.3982577664511544,0.6051553317478725,0.39144610660963,0.6167916816878869,3554.0,0.411787410715844,0.6193183615566532,3581.0,4784.82019162178,5239.00541305542,4784.82019162178,450.4136831760407,3.093045473098755,0.0
20462,,,,0.3064007759094238,0.5952171598161969,0.3038375760037106,0.6004929936998804,3554.0,0.3241190075441567,0.6091676747722354,3581.0,4864.979334115982,5323.264477729797,4864.979334115982,454.4745814800263,3.120868444442749,0.0
20807,,,,0.5512565544673375,0.5980922835213798,0.5352667796189153,0.5995862936128307,3554.0,0.5572573169920239,0.6020931189568207,3581.0,4945.021284341812,5407.406108140945,4945.021284341812,458.5341625213623,3.1498048305511475,0.0
21155,,,,0.5406927040645054,0.570223161152431,0.5236204680795407,0.577952645236881,3554.0,0.5462331849081961,0.5785386959822675,3581.0,5025.227123260498,5491.713911294937,5025.227123260498,462.59496307373047,3.1795902252197266,0.0
21504,,,,0.5461541243961879,0.5385632514953613,0.5305315231297482,0.5471154654636501,3554.0,0.5512852800588174,0.5498566381160989,3581.0,5105.30380487442,5575.888761043549,5105.30380487442,466.6532788276672,3.2080228328704834,0.0
21847,,,,0.525134767804827,0.5074493544442313,0.509395017607801,0.5175862996579558,3554.0,0.5310717521183852,0.5218610510550474,3581.0,5185.476956605911,5660.159937381744,5185.476956605911,470.7120668888092,3.2360706329345703,0.0
22195,,,,0.4588093417031424,0.4466057504926409,0.4624313672204734,0.4667225474377462,3554.0,0.4774632500523597,0.4686852321715303,3581.0,5265.502773523331,5744.285967350006,5265.502773523331,474.772882938385,3.264401435852051,0.0
22541,,,,0.6100942747933524,0.4296244212559291,0.5889947533808737,0.442783027266812,3554.0,0.611136821287699,0.4441926983340896,3581.0,5345.525278091431,5828.410876989365,5345.525278091431,478.8344352245331,3.293976306915283,0.0
22887,,,,0.5833822659083775,0.4855164800371442,0.5665323732941756,0.4974481328256893,3554.0,0.5881693993690659,0.497054802309498,3581.0,5425.564591407776,5912.552061319351,5425.564591407776,482.8956525325775,3.3233742713928223,0.0
23235,,,,0.6173422677176339,0.3768885476248605,0.6113547098120076,0.3956552998162282,3554.0,0.6213964543772689,0.3991497074948513,3581.0,5505.745640516281,5996.836625576019,5505.745640516281,486.95903158187866,3.3522369861602783,0.0
23579,,,,0.5941165515354702,0.4445047719138009,0.5756124604868634,0.4596485831325619,3554.0,0.5976824298380341,0.4593524267073617,3581.0,5585.914100408554,6081.1043355464935,5585.914100408554,491.0175507068634,3.3819587230682373,0.0
