global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
11800,0.16499372,1.9205786,0.001405168,,,,,,,,,,,,,,,,,
11900,0.14295109,1.9255685,0.0014047473,,,,,,,,,,,,,,,,,
12000,0.16835412,1.9615507,0.0014043227,,,,,,,,,,,,,,,,,
12100,0.14658959,1.902708,0.001403894,,,,,,,,,,,,,,,,,
12134,,,,0.6219972372055054,1.8826106786727903,30.271047643021426,0.6415667533874512,1.7336941957473757,26.858084907256263,3000.0,0.6516762971878052,1.6683138608932495,25.920941928209803,3003.0,13495.412697315216,22524.348535060883,13495.412697315216,9028.074877738953,0.4510285854339599,0.0
12200,0.15159932,1.9996529,0.0014034617,,,,,,,,,,,,,,,,,
12300,0.1708162,1.9984821,0.0014030254,,,,,,,,,,,,,,,,,
12400,0.14975388,1.9471121,0.0014025852,,,,,,,,,,,,,,,,,
12500,0.15329681,1.9565978,0.0014021411,,,,,,,,,,,,,,,,,
12600,0.18183309,1.9541368,0.0014016931,,,,,,,,,,,,,,,,,
12700,0.14075825,1.8451017,0.001401241,,,,,,,,,,,,,,,,,
12800,0.21010394,1.9533913,0.0014007853,,,,,,,,,,,,,,,,,
12892,,,,0.637768566608429,1.7526800632476809,31.30215350136099,0.644790530204773,1.7142488956451416,27.21241237786384,3000.0,0.6521062254905701,1.658328652381897,26.01423346612936,3003.0,14336.00087928772,23844.804041862488,14336.00087928772,9507.88974070549,0.4783895015716553,0.0
12900,0.1635739,1.8454448,0.0014003254,,,,,,,,,,,,,,,,,
13000,0.14491363,1.9006547,0.001399862,,,,,,,,,,,,,,,,,
13100,0.16338831,1.9582757,0.0013993944,,,,,,,,,,,,,,,,,
13200,0.16468339,1.915161,0.001398923,,,,,,,,,,,,,,,,,
13300,0.14009203,1.9480414,0.0013984478,,,,,,,,,,,,,,,,,
13400,0.18468176,1.9459226,0.0013979687,,,,,,,,,,,,,,,,,
13500,0.14734052,2.0413823,0.0013974857,,,,,,,,,,,,,,,,,
13600,0.1691637,1.8527471,0.0013969986,,,,,,,,,,,,,,,,,
13650,,,,0.6327773928642273,1.7949999570846558,30.660670479480984,0.6453360915184021,1.7021729946136477,27.411967352242826,3000.0,0.6536633968353271,1.6385648250579834,26.426823549168155,3003.0,15176.73124074936,25211.74725627899,15176.73124074936,10034.04888010025,0.5064959526062012,0.0
13700,0.17470044,1.8831154,0.001396508,,,,,,,,,,,,,,,,,
13800,0.15404402,1.9676338,0.0013960133,,,,,,,,,,,,,,,,,
