global_step,grad_norm,loss,lr,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
4733,,,,0.4097779478345598,1.7907586778913225,0.4012868148125352,1.7782514805061198,3554.0,0.4199650990034208,1.7803872925247837,3581.0,1265.2761087417605,1551.809972524643,1265.2761087417605,284.5762095451355,1.7945222854614258,0.0
5078,,,,0.1132689033235822,1.0766962596348353,0.1019969762008916,1.0941646406337928,3554.0,0.1208655541917193,1.0924138737870008,3581.0,1345.424082517624,1636.014456987381,1345.424082517624,288.5951030254364,1.8205251693725584,0.0
5422,,,,0.1744224173682076,0.9828055245535714,0.1682392006585889,0.991442781790764,3554.0,0.1857500073630794,0.9906229137941568,3581.0,1425.470466852188,1720.1138064861298,1425.470466852188,292.60962772369385,1.847016334533692,0.0
5768,,,,0.090323303427015,1.0797289439610072,0.076383351340479,1.0973563293560074,3554.0,0.098453456747635,1.0957116470826933,3581.0,1505.5005905628204,1804.198488473892,1505.5005905628204,296.6266803741455,1.8724963665008545,0.0
6116,,,,0.0240696328026907,1.193211283002581,0.0104812907582263,1.2082232387802476,3554.0,0.0305098571180797,1.2071659670832169,3581.0,1585.5639855861664,1888.3159883022308,1585.5639855861664,300.63885831832886,1.902470111846924,0.0
6459,,,,0.4194442885262625,1.5921357018607003,0.4097092885547095,1.5803333941509567,3554.0,0.4290965106093793,1.5831636643482965,3581.0,1665.6144387722015,1972.421185016632,1665.6144387722015,304.6549003124237,1.9295878410339355,0.0
6804,,,,0.0785279955182756,1.097029754093715,0.0645426426567116,1.1152465339450268,3554.0,0.0867054504377487,1.1142154066165175,3581.0,1745.6054356098175,2056.4714665412903,1745.6054356098175,308.6752510070801,1.956894397735596,0.0
7150,,,,0.1825122662952968,0.9273062433515276,0.1697231415086874,0.9460915655115716,3554.0,0.1922450615553441,0.945445103606709,3581.0,1825.632744073868,2140.554220676422,1825.632744073868,312.6929750442505,1.982607364654541,0.0
7494,,,,-0.0123412545238222,1.2762940270560128,-0.0269478651399886,1.294743269027856,3554.0,-0.0077906605652077,1.2939128604091037,3581.0,1905.600895404816,2224.576912879944,1905.600895404816,316.7102897167206,2.0081491470336914,0.0
7840,,,,0.0515062936714717,1.14396790095738,0.0384279078288767,1.1608752077324844,3554.0,0.0581522464619039,1.16036909753735,3581.0,1985.661895990372,2308.6948878765106,1985.661895990372,320.7294578552246,2.0342345237731934,0.0
8187,,,,0.4402623176574707,1.5935727528163366,0.4326895572660207,1.582699785892656,3554.0,0.4502305939223506,1.585918955948059,3581.0,2065.7785589694977,2392.864239692688,2065.7785589694977,324.7431597709656,2.060964584350586,0.0
8532,,,,0.1000968984195164,1.0608245304652624,0.0857542657288662,1.0807899384935988,3554.0,0.1059808249048799,1.079659997534732,3581.0,2146.11260342598,2477.2534840106964,2146.11260342598,328.7602276802063,2.087381601333618,0.0
8877,,,,0.4429301534380231,1.4263172149658203,0.4339504467347531,1.4164276552388153,3554.0,0.4527827872473645,1.419991415194778,3581.0,2226.122904777527,2561.3238904476166,2226.122904777527,332.77883291244507,2.1171715259552,0.0
9223,,,,0.4331515857151576,1.5406475067138672,0.4239500579232906,1.5299928887345244,3554.0,0.4427455805160918,1.532183065789933,3581.0,2306.245110273361,2645.501984357834,2306.245110273361,336.7944333553314,2.145625114440918,0.0
9570,,,,-0.0219356162207467,1.3178400312151228,-0.0356034110889853,1.335420229626829,3554.0,-0.0175707576595115,1.333162982581681,3581.0,2386.246472597122,2729.557735681534,2386.246472597122,340.81055521965027,2.1716673374176025,0.0
9912,,,,0.0397666777883257,1.173431396484375,0.0295303808415144,1.1845778689065138,3554.0,0.0489991717217388,1.1835694791084892,3581.0,2466.2698862552643,2813.637180566788,2466.2698862552643,344.8269147872925,2.1999781131744385,0.0
10260,,,,0.1457781280790056,1.004620143345424,0.1325222910557426,1.0229541647615363,3554.0,0.1528516831726909,1.0215188042140813,3581.0,2546.4221959114075,2897.8458154201508,2546.4221959114075,348.8440306186676,2.226827383041382,0.0
10606,,,,0.0441027879714965,1.1652637209211076,0.0317147039736531,1.1780745506823298,3554.0,0.0525904455453914,1.1768711221114911,3581.0,2626.488726377487,2981.968306779861,2626.488726377487,352.8597593307495,2.2548794746398926,0.0
10951,,,,0.4440764699663435,1.5093300683157784,0.4355894656548958,1.4998095785558525,3554.0,0.4539344615025482,1.5030045454743786,3581.0,2706.611803293228,3066.152512550354,2706.611803293228,356.8808135986328,2.2830636501312256,0.0
11298,,,,0.2645151104245867,0.8235592842102051,0.256847718624701,0.8391457441219401,3554.0,0.2780850007526703,0.8379503477555152,3581.0,2786.700214624405,3150.2969150543213,2786.700214624405,360.8950347900391,2.312504768371582,0.0
11644,,,,0.0999912875039236,1.0506375857761927,0.0888748641220719,1.06501552772844,3554.0,0.1106479861023239,1.063435929209718,3581.0,2866.677198886872,3234.3338248729706,2866.677198886872,364.9156737327576,2.3393335342407227,0.0
11989,,,,0.4727421147482736,1.337043353489467,0.4644966018152962,1.326701098234384,3554.0,0.482546501937308,1.3297631488236523,3581.0,2946.792801856994,3318.507643699646,2946.792801856994,368.934047460556,2.366844892501831,0.0
